angle, alpha, beta, pi-alpha, pi-beta


90.000000,0.000000,94.189698,0.110324,96.440004
80.000000,0.000000,0.000000,0.000000,0.000000
70.000000,0.000000,3.063043,0.000000,0.028451
60.000000,0.000000,1.749631,0.000000,0.068882
50.000000,0.000000,0.320315,0.000000,0.024394
40.000000,0.000000,0.240148,0.000000,0.022596
30.000000,0.000000,0.120986,0.011112,0.003804
20.000000,0.000000,0.036524,0.003205,0.003122
10.000000,0.000000,0.001607,0.000431,0.000008
80.000000,0.000000,0.000000,0.000000,0.000000
80.000000,0.000000,0.000000,0.000000,0.000000
70.000000,0.000000,3.063043,0.000000,0.028451
